source,target,relationship,label
L2,STD_ISO_9000_2026,CONTAINS,CONTAINS
L2,STD_ISO_9001_2026_FDIS,CONTAINS,CONTAINS
L2,STD_ISO_DIS_9002,CONTAINS,CONTAINS
L2,STD_ISO_9004_2018,CONTAINS,CONTAINS
L2,STD_ISO_10001_2018,CONTAINS,CONTAINS
L2,STD_ISO_10002_2018,CONTAINS,CONTAINS
L2,STD_ISO_10003_2018,CONTAINS,CONTAINS
L2,STD_ISO_10004_2018,CONTAINS,CONTAINS
L2,STD_ISO_10005_2018,CONTAINS,CONTAINS
L2,STD_ISO_10006_2017,CONTAINS,CONTAINS
L2,STD_ISO_10007_2017,CONTAINS,CONTAINS
L2,STD_ISO_10008_2022,CONTAINS,CONTAINS
L2,STD_ISO_10009_2024,CONTAINS,CONTAINS
L2,STD_ISO_10010_2022,CONTAINS,CONTAINS
L2,STD_ISO_10012_2026,CONTAINS,CONTAINS
L2,STD_ISO_10013_2021,CONTAINS,CONTAINS
L2,STD_ISO_10014_2021,CONTAINS,CONTAINS
L2,STD_ISO_10015_2019,CONTAINS,CONTAINS
L2,STD_ISO_10017_2021,CONTAINS,CONTAINS
L2,STD_ISO_10018_2020,CONTAINS,CONTAINS
L2,STD_ISO_10019_2005,CONTAINS,CONTAINS
L2,STD_ISO_19011_2026,CONTAINS,CONTAINS
L2,STD_ISO_31000_2018,CONTAINS,CONTAINS
L3,STD_ISO_IEC_42001_2023,CONTAINS,CONTAINS
L3,STD_ISO_IEC_42005_2025,CONTAINS,CONTAINS
L3,STD_ISO_IEC_23894_2023,CONTAINS,CONTAINS
L3,STD_ISO_IEC_22989_2022,CONTAINS,CONTAINS
L3,STD_ISO_IEC_5259_series,CONTAINS,CONTAINS
L3,STD_ISO_IEC_38507_2022,CONTAINS,CONTAINS
L3,STD_ISO_IEC_27001_2022,CONTAINS,CONTAINS
L3,STD_ISO_IEC_27701_2025,CONTAINS,CONTAINS
L1,REQ_4_1,CONTAINS,CONTAINS
REQ_4_1,MOD_Context_Analyzer,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Context_Analyzer,AG_Context_Twin_Orchestrator,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_4_1,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_4_1,INFORMS,Knowledge Layer
STD_ISO_DIS_9002,REQ_4_1,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_4_1,INFORMS,Knowledge Layer
STD_ISO_10010_2022,REQ_4_1,INFORMS,Knowledge Layer
STD_ISO_10017_2021,REQ_4_1,INFORMS,Knowledge Layer
STD_ISO_31000_2018,REQ_4_1,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_4_1,INFORMS,Knowledge Layer
L1,REQ_4_2,CONTAINS,CONTAINS
REQ_4_2,MOD_Stakeholder_Engine,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Stakeholder_Engine,AG_Stakeholder_Intelligence_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_4_2,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_4_2,INFORMS,Knowledge Layer
STD_ISO_DIS_9002,REQ_4_2,INFORMS,Knowledge Layer
STD_ISO_10001_2018,REQ_4_2,INFORMS,Knowledge Layer
STD_ISO_10002_2018,REQ_4_2,INFORMS,Knowledge Layer
STD_ISO_10003_2018,REQ_4_2,INFORMS,Knowledge Layer
STD_ISO_10004_2018,REQ_4_2,INFORMS,Knowledge Layer
STD_ISO_10008_2022,REQ_4_2,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_4_2,INFORMS,Knowledge Layer
L1,REQ_4_3,CONTAINS,CONTAINS
REQ_4_3,MOD_Scope_Builder,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Scope_Builder,AG_Scope_Assurance_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_4_3,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_4_3,INFORMS,Knowledge Layer
STD_ISO_DIS_9002,REQ_4_3,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_4_3,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_4_3,INFORMS,Knowledge Layer
L1,REQ_4_4_1,CONTAINS,CONTAINS
REQ_4_4_1,MOD_Process_Mapper,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Process_Mapper,AG_Process_Graph_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_4_4_1,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_4_4_1,INFORMS,Knowledge Layer
STD_ISO_DIS_9002,REQ_4_4_1,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_4_4_1,INFORMS,Knowledge Layer
STD_ISO_10005_2018,REQ_4_4_1,INFORMS,Knowledge Layer
STD_ISO_10006_2017,REQ_4_4_1,INFORMS,Knowledge Layer
STD_ISO_10007_2017,REQ_4_4_1,INFORMS,Knowledge Layer
STD_ISO_10009_2024,REQ_4_4_1,INFORMS,Knowledge Layer
STD_ISO_10013_2021,REQ_4_4_1,INFORMS,Knowledge Layer
STD_ISO_31000_2018,REQ_4_4_1,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_4_4_1,INFORMS,Knowledge Layer
L1,REQ_4_4_2,CONTAINS,CONTAINS
REQ_4_4_2,MOD_Process_Mapper,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Process_Mapper,AG_Process_Graph_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_4_4_2,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_4_4_2,INFORMS,Knowledge Layer
STD_ISO_DIS_9002,REQ_4_4_2,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_4_4_2,INFORMS,Knowledge Layer
STD_ISO_10005_2018,REQ_4_4_2,INFORMS,Knowledge Layer
STD_ISO_10006_2017,REQ_4_4_2,INFORMS,Knowledge Layer
STD_ISO_10007_2017,REQ_4_4_2,INFORMS,Knowledge Layer
STD_ISO_10009_2024,REQ_4_4_2,INFORMS,Knowledge Layer
STD_ISO_10013_2021,REQ_4_4_2,INFORMS,Knowledge Layer
STD_ISO_31000_2018,REQ_4_4_2,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_4_4_2,INFORMS,Knowledge Layer
L1,REQ_5_1_1,CONTAINS,CONTAINS
REQ_5_1_1,MOD_Quality_Navigator,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Quality_Navigator,AG_Leadership_Orchestrator,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_5_1_1,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_5_1_1,INFORMS,Knowledge Layer
STD_ISO_DIS_9002,REQ_5_1_1,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_5_1_1,INFORMS,Knowledge Layer
STD_ISO_10010_2022,REQ_5_1_1,INFORMS,Knowledge Layer
STD_ISO_10014_2021,REQ_5_1_1,INFORMS,Knowledge Layer
STD_ISO_10018_2020,REQ_5_1_1,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_5_1_1,INFORMS,Knowledge Layer
STD_ISO_IEC_38507_2022,REQ_5_1_1,INFORMS,Knowledge Layer
L1,REQ_5_1_2,CONTAINS,CONTAINS
REQ_5_1_2,MOD_Quality_Navigator,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Quality_Navigator,AG_Customer_Focus_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_5_1_2,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_5_1_2,INFORMS,Knowledge Layer
STD_ISO_DIS_9002,REQ_5_1_2,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_5_1_2,INFORMS,Knowledge Layer
STD_ISO_10010_2022,REQ_5_1_2,INFORMS,Knowledge Layer
STD_ISO_10014_2021,REQ_5_1_2,INFORMS,Knowledge Layer
STD_ISO_10018_2020,REQ_5_1_2,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_5_1_2,INFORMS,Knowledge Layer
STD_ISO_IEC_38507_2022,REQ_5_1_2,INFORMS,Knowledge Layer
L1,REQ_5_2_1,CONTAINS,CONTAINS
REQ_5_2_1,MOD_Policy_Synthesizer,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Policy_Synthesizer,AG_Policy_Coherence_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_5_2_1,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_5_2_1,INFORMS,Knowledge Layer
STD_ISO_DIS_9002,REQ_5_2_1,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_5_2_1,INFORMS,Knowledge Layer
STD_ISO_10010_2022,REQ_5_2_1,INFORMS,Knowledge Layer
STD_ISO_10018_2020,REQ_5_2_1,INFORMS,Knowledge Layer
STD_ISO_10013_2021,REQ_5_2_1,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_5_2_1,INFORMS,Knowledge Layer
L1,REQ_5_2_2,CONTAINS,CONTAINS
REQ_5_2_2,MOD_Policy_Synthesizer,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Policy_Synthesizer,AG_Policy_Coherence_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_5_2_2,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_5_2_2,INFORMS,Knowledge Layer
STD_ISO_DIS_9002,REQ_5_2_2,INFORMS,Knowledge Layer
STD_ISO_9004_2018,REQ_5_2_2,INFORMS,Knowledge Layer
STD_ISO_10010_2022,REQ_5_2_2,INFORMS,Knowledge Layer
STD_ISO_10018_2020,REQ_5_2_2,INFORMS,Knowledge Layer
STD_ISO_10013_2021,REQ_5_2_2,INFORMS,Knowledge Layer
STD_ISO_IEC_42001_2023,REQ_5_2_2,INFORMS,Knowledge Layer
L1,REQ_5_3,CONTAINS,CONTAINS
REQ_5_3,MOD_Ethics_Monitor,IMPLEMENTED_BY,IMPLEMENTED_BY
MOD_Ethics_Monitor,AG_Accountability_Ethics_Agent,ORCHESTRATED_BY,ORCHESTRATED_BY
STD_ISO_9000_2026,REQ_5_3,INFORMS,Knowledge Layer
STD_ISO_9001_2026_FDIS,REQ_5_3,INFORMS,Knowledge Layer
STD_ISO_10010_2022,REQ_5_3,INFORMS,Knowledge Layer
STD_ISO_10015_2019,REQ_5_3,INFORMS,Knowledge Layer
